FIPS,State,Area_Name,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022
48239,TX,Jackson County,"14,992","15,097","15,142"
48241,TX,Jasper County,"32,921","32,570","32,484"
48243,TX,Jeff Davis County,"1,986","1,959","1,903"
48245,TX,Jefferson County,"256,118","253,531","250,830"
48247,TX,Jim Hogg County,"4,846","4,797","4,763"
48249,TX,Jim Wells County,"38,877","38,923","38,826"
48251,TX,Johnson County,"180,945","187,442","195,506"
48253,TX,Jones County,"19,678","19,809","19,935"
48255,TX,Karnes County,"14,763","14,714","14,836"
48257,TX,Kaufman County,"147,126","158,216","172,366"
48259,TX,Kendall County,"44,547","46,851","48,973"
48261,TX,Kenedy County,351,342,358
48263,TX,Kent County,761,746,740
48265,TX,Kerr County,"52,691","53,136","53,741"
48267,TX,Kimble County,"4,291","4,350","4,422"
48269,TX,King County,266,256,233
48271,TX,Kinney County,"3,124","3,117","3,128"
48273,TX,Kleberg County,"30,977","30,642","30,362"
48275,TX,Knox County,"3,346","3,307","3,273"
48277,TX,Lamar County,"50,126","50,305","50,484"
48279,TX,Lamb County,"13,005","12,886","12,724"
48281,TX,Lampasas County,"21,707","22,213","22,785"
48283,TX,La Salle County,"6,664","6,716","6,604"
48285,TX,Lavaca County,"20,348","20,490","20,589"
48287,TX,Lee County,"17,502","17,671","17,954"
48289,TX,Leon County,"15,731","15,985","16,209"
48291,TX,Liberty County,"92,465","97,382","101,992"
48293,TX,Limestone County,"22,139","22,125","22,253"
48295,TX,Lipscomb County,"3,036","2,907","2,854"
48297,TX,Live Oak County,"11,349","11,383","11,428"
48299,TX,Llano County,"21,285","22,013","22,540"
48301,TX,Loving County,65,57,51
48303,TX,Lubbock County,"311,564","314,597","317,561"
48305,TX,Lynn County,"5,610","5,652","5,724"
48307,TX,McCulloch County,"7,591","7,532","7,497"
48309,TX,McLennan County,"261,177","263,714","266,836"
48311,TX,McMullen County,598,597,576
48313,TX,Madison County,"13,464","13,498","13,661"
48315,TX,Marion County,"9,751","9,618","9,560"
48317,TX,Martin County,"5,252","5,208","5,217"
48319,TX,Mason County,"3,968","3,929","3,982"
48321,TX,Matagorda County,"36,280","36,366","36,125"
48323,TX,Maverick County,"57,873","57,841","57,843"
48325,TX,Medina County,"50,939","52,322","53,723"
48327,TX,Menard County,"1,961","1,964","1,968"
48329,TX,Midland County,"170,348","168,206","171,999"
48331,TX,Milam County,"24,775","25,189","25,628"
48333,TX,Mills County,"4,447","4,497","4,500"
48335,TX,Mitchell County,"9,014","9,050","8,943"
48337,TX,Montague County,"19,994","20,430","21,063"
48339,TX,Montgomery County,"625,243","650,261","678,490"
48341,TX,Moore County,"21,264","21,122","20,996"
48343,TX,Morris County,"11,972","12,009","12,083"
48345,TX,Motley County,"1,063","1,065","1,032"
48347,TX,Nacogdoches County,"64,619","64,699","64,862"
48349,TX,Navarro County,"52,828","53,616","54,636"
48351,TX,Newton County,"12,157","12,202","12,052"
48353,TX,Nolan County,"14,723","14,600","14,473"
48355,TX,Nueces County,"353,376","353,230","351,674"
48357,TX,Ochiltree County,"9,954","9,763","9,606"
48359,TX,Oldham County,"1,764","1,730","1,752"
48361,TX,Orange County,"84,747","84,641","84,934"
48363,TX,Palo Pinto County,"28,445","28,676","29,239"
48365,TX,Panola County,"22,492","22,538","22,677"
48367,TX,Parker County,"149,547","156,966","165,834"
48369,TX,Parmer County,"9,854","9,779","9,620"
48371,TX,Pecos County,"15,185","15,126","14,735"
48373,TX,Polk County,"50,494","51,816","53,255"
48375,TX,Potter County,"118,272","116,538","115,645"
